group,owner,alias,artifacts
admad,"","",
admas,"","",
admsm,"","",
appad,"","",
appai,"","",
appar,"","",
appba,"","",
appbd,"","",
appbi,"","",
appbr,"","",
appbs,"","",
appbt,"","",
appbx,"","",
appcm,"","",
appdj,"","",
appdl,"","",
appds,"","",
appdw,"","",
appdy,"","",
appia,"","",
appib,"","",
appis,"","",
appjo,"","",
appjs,"","",
appkm,"","",
appl7,"","",
appld,"","",
appma,"","",
appmd,"","",
appmj,"","",
appms,"","",
appmw,"","",
appnj,"","",
apppj,"","",
apppp,"","",
appre,"","",
apprw,"","",
appsat,"","",
appsf,"","",
appsm,"","",
appst,"","",
apptj,"","",
appvo,"","",
appwp,"","",
appwt,"","",
appwu,"","",
appxf,"","",
appyt,"","",
bakpu,"","",
cdncp,"","",
cdncs,"","",
cdnds,"","",
cdnpi,"",Picture Server,
cdnsc,crodemeyer,s.autoscout24.de,//dappbsv002/transfer/build_results/s.autoscout24.de
cdnws,"","",
dcoas,"","",
dcoli,"","",
dcoop,"","",
dcosv,"","",
dcows,"","",
dnsas,"","",
elade,"","",
elaki,ask fzorca,Kibana,
elans,"","",
elavm,ask fzorca,Elastic Search,
ftpdl,"","",
ftpma,"","",
ftpmp,"","",
haddb,"","",
hadfa,"","",
hadfe,"","",
hadff,"","",
hadhs,"","",
hadjs,"","",
hadmg,"","",
mgrsm,"","",
mondb,"","",
myqad,"","",
myqar,"","",
myqbt,"","",
myqbx,"","",
myqcm,"","",
myqma,"","",
myqmd,"","",
myqmt,"","",
myqns,"","",
myqst,"","",
myqwp,"","",
myqyt,"","",
nfsbi,"","",
ntpas,"","",
oraad,"","",
orabi,"","",
oracr,"","",
oradw,"","",
oramd,"","",
oramg,"","",
oraob,"","",
orasb,"","",
oratr,"","",
orats,"","",
prxva,"","",
psqis,"","",
pupdb,"","",
puppb,"","",
puppm,"","",
rfsas,"","",
rmqas,"","",
rpccm,"","",
rpcgc,"","",
rpcla,"","",
sqlbi,"","",
sqldy,"","",
sqltr,"","",
sshfp,"","",
talad,"","",
taldb,"","",
talex,"","",
terop,"","",
uxadm,"","",
webab,DLM+DSM,MyArea,//dappbsv002/transfer/build_results/MyArea
webac,"","",
webad,"","",
webai,"","",
webal,"","",
webam,"","",
webap,"","",
webat,PrivateBuyer,www.autoscout24.at,
webaw,"","",
webbe,PrivateBuyer,www.autoscout24.be,
webbg,PrivateBuyer,www.autoscout24.bg,
webct,"","",
webde,PrivateBuyer,www.autoscout24.de,
webdi,Croatia,DealerInfo,
weber,"","",
webes,PrivateBuyer,www.autoscout24.es,
webew,"","",
webfa,"","",
webfb,"","",
webfr,PrivateBuyer,www.autoscout24.fr,
webic,"","",
webid,CLM,accounts.autoscout24.com,
webit,PrivateBuyer,www.autoscout24.it,
webld,"","",
weblu,PrivateBuyer,www.autoscout24.lu,
webnl,PrivateBuyer,www.autoscout24.nl,
webns,"","",
webnw,"","",
webpl,PrivateBuyer,www.autoscout24.pl,
webps,"","",
webro,PrivateBuyer,www.autoscout24.ro,
webrp,"","",
webrw,"","",
webse,"","",
websf,"","",
websm,"","",
websw,"","",
webtp,"","",
webts,"","",
webtw,"","",
webvc,"","",
webws,VM,WCF Web Services,
